estacion;codigo;lat;lon;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19
HOSPITAL DEL HENARES;296;40.41695201687906;-3.534097088311369;18.516;18.789;19.572;17.714;17.755;17.458;16.165;10.555;16.329;19.275;19.312;16.584
PARQUE DE LAS AVENIDAS;139;40.439005376628856;-3.6627003212435634;125.019;125.666;132.989;118.926;125.832;119.590;101.651;58.501;114.912;137.435;129.505;115.634
CHUECA;86;40.423017132230584;-3.6976116419687672;220.226;236.215;261.714;237.331;238.914;219.763;210.267;138.659;197.263;227.725;222.139;223.053
LA RAMBLA;289;40.42440319207074;-3.547468135971445;96.071;94.850;100.116;88.904;94.972;90.942;79.047;52.026;90.642;108.755;103.459;95.091
BARRIO DEL PUERTO;287;40.42190475299581;-3.568819251863663;64.163;63.751;65.672;61.014;62.965;63.802;53.861;32.447;64.043;76.295;70.114;64.272
SAN FERNANDO;290;40.42362629228772;-3.53492465094285;73.040;71.659;77.577;68.151;72.319;70.367;60.714;42.276;66.596;78.893;75.256;72.027
HENARES;292;40.417075614571814;-3.5267199585678783;37.555;37.467;38.511;34.230;36.273;34.733;28.333;18.976;35.075;43.418;40.827;36.194
CRUZ DEL RAYO;169;40.4438168582396;-3.6779392959861257;135.938;130.463;137.509;122.008;124.839;121.524;97.691;59.171;105.773;135.848;127.960;113.101
BILBAO;56;40.42884388060323;-3.7010874050209885;444.973;440.754;464.917;420.720;426.611;390.607;297.840;131.379;212.893;387.773;390.738;359.774
BILBAO;9;40.42904693395561;-3.7021277694719936;444.973;440.754;464.917;420.720;426.611;390.607;297.840;131.379;212.893;387.773;390.738;359.774
EMBAJADORES;46;40.40559868595903;-3.7028725758403267;541.797;543.905;581.726;519.035;540.323;526.443;463.205;321.851;528.264;645.282;613.229;538.374
ALUCHE;100;40.38685597869368;-3.7614048985326685;461.952;454.458;494.690;445.484;476.477;463.667;423.840;332.183;454.412;518.976;500.350;480.313
ACACIAS;92;40.40439802265799;-3.706868521118051;129.301;128.623;135.772;120.814;130.227;126.887;110.567;72.587;121.414;145.309;140.345;128.325
LEGAZPI;110;40.39187051365681;-3.695365400540461;629.230;625.957;680.800;613.768;665.189;636.696;568.544;427.041;623.571;717.023;674.371;640.910
LEGAZPI;43;40.391861685250184;-3.695436334480302;629.230;625.957;680.800;613.768;665.189;636.696;568.544;427.041;623.571;717.023;674.371;640.910
OPORTO;96;40.3894515302415;-3.731789978648945;564.299;557.268;604.458;549.424;588.461;567.137;521.854;409.126;562.672;648.923;624.590;586.253
OPORTO;106;40.3894515302415;-3.73173086703241;564.299;557.268;604.458;549.424;588.461;567.137;521.854;409.126;562.672;648.923;624.590;586.253
SERRANO;59;40.42540963042602;-3.6865695920001453;255.496;234.066;241.504;221.403;219.286;217.449;203.960;121.642;202.202;253.278;256.735;263.612
MONTECARMELO;275;40.50368228356522;-3.694892507608186;94.326;93.122;98.472;87.304;93.194;93.425;80.446;43.815;90.284;107.087;98.996;86.049
ALFONSO XIII;66;40.44765721512157;-3.667571118445996;267.217;260.980;269.633;245.285;250.859;245.691;223.745;143.465;239.690;289.000;274.110;237.837
AVENIDA DE LA PAZ;67;40.452804176184074;-3.6607732825445423;107.089;106.625;111.154;97.797;100.251;96.941;83.948;50.309;96.190;124.611;120.153;104.025
ESPERANZA;69;40.458507326863966;-3.645309683659149;134.849;130.942;142.239;123.834;133.180;126.722;97.425;66.015;125.696;147.840;144.489;127.540
SAN LORENZO;72;40.47319779548833;-3.6389138067501294;147.653;140.677;148.625;135.160;142.117;140.394;127.075;86.460;130.347;152.467;142.414;125.235
CANILLEJAS;74;40.44848708534435;-3.60765558392675;193.288;187.927;206.368;189.266;201.602;204.279;187.580;142.270;188.426;219.422;207.250;201.794
TORRE ARIAS;75;40.442969331203585;-3.6165696157001337;136.920;138.257;150.598;135.785;144.765;140.744;124.905;87.573;129.961;154.757;149.310;137.481
SUANZES;76;40.440179554710014;-3.6264649003079885;199.688;210.851;240.316;196.050;201.313;197.210;185.232;125.075;187.118;227.198;207.632;178.173
QUINTANA;79;40.43316979984959;-3.647106676801794;230.978;230.676;247.538;224.445;240.128;224.445;200.774;149.701;215.860;251.580;241.932;231.810
EL CARMEN;80;40.43157185825042;-3.657368453432162;306.661;308.907;332.010;305.507;318.181;298.676;271.922;201.155;283.104;332.706;322.606;301.650
URGEL;95;40.39419238459924;-3.7239990675897134;247.667;235.259;254.206;233.295;270.461;237.981;219.477;170.275;227.934;262.056;255.877;247.759
VISTA ALEGRE;97;40.38987529375951;-3.740313873753202;200.378;201.220;212.730;196.760;213.991;201.317;186.445;148.118;192.158;228.158;219.926;219.236
