estacion;codigo;lat;lon;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19
PUEBLO NUEVO;78;40.435217990186636;-3.64254326000534;340.978;331.143;359.718;325.082;344.576;335.365;312.940;238.280;316.931;364.405;351.129;344.277
SIERRA DE GUADALUPE;25;40.3826624855467;-3.6248807089848674;225.421;224.931;238.634;214.431;220.526;207.041;189.386;144.328;208.582;242.325;233.450;221.544
FUENCARRAL;187;40.4936973556721;-3.692066972337842;131.409;128.625;139.728;126.239;134.190;135.388;122.413;90.417;131.450;152.465;143.081;132.931
VALDEACEDERAS;2;40.463663116333095;-3.694620594172127;241.157;234.990;252.444;231.999;241.775;236.145;214.656;155.829;229.093;269.730;260.168;241.936
PAN BENDITO;208;40.377118246186065;-3.7347810264455843;55.544;54.233;57.014;52.627;53.600;50.131;46.032;36.216;48.130;55.915;54.924;53.390
LAGUNA;104;40.400080931818266;-3.744688133376746;187.394;190.719;206.454;184.709;195.188;185.715;170.983;128.235;189.576;221.099;211.825;188.371
PARQUE DE LOS ESTADOS;222;40.29022023977403;-3.7888208662813128;106.773;103.728;112.639;101.184;108.727;104.620;93.571;68.722;102.578;113.633;105.715;97.086
JUAN DE LA CIERVA;227;40.31426881942112;-3.7235025300108244;170.634;168.023;183.582;162.963;171.833;164.246;142.648;103.470;163.092;188.499;180.616;165.816
EL CARRASCAL;231;40.33871467736636;-3.741247837294445;160.929;129.799;141.487;134.564;139.464;149.091;141.235;109.155;138.602;148.693;150.160;170.323
CASA DEL RELOJ;233;40.329003430078615;-3.7606837368109494;100.937;98.398;107.604;99.664;104.165;102.683;88.809;76.712;98.150;111.199;110.681;99.375
EL CAPRICHO;253;40.452380412666066;-3.593433328988578;63.675;62.273;71.531;61.401;67.244;63.887;51.392;35.857;58.558;70.925;67.826;67.788
VILLA DE VALLECAS;26;40.380128732845264;-3.621475879872487;154.036;147.975;159.791;144.862;153.304;156.357;146.001;113.589;156.024;180.697;173.263;167.104
VALDEBERNARDO;179;40.40016921588452;-3.621546813812329;180.476;178.611;190.415;167.026;172.980;169.095;136.544;89.848;165.457;198.955;187.868;172.589
COLOMBIA;167;40.4567681307588;-3.6765324395126076;388.512;386.966;413.124;368.094;382.266;362.544;314.552;194.927;371.270;436.983;407.910;360.628
COLOMBIA;156;40.45563809471077;-3.6764260386028456;388.512;386.966;413.124;368.094;382.266;362.544;314.552;194.927;371.270;436.983;407.910;360.628
